modo,batch,tempo_s,latencia_ms_img,acuracia_pct,vdd_in_medio_log_w,vdd_in_medio_gpu_ativa_w,energia_aprox_j,energia_aprox_mj_img,linhas_power_log,gr3d_max_pct,gr3d_medio_gpu_ativa_pct
15W,1,49.622537,4.962254,99.34,5.888038112522686,5.879220689655172,291.7418462035793,29.17418462035793,551,98,35.793103448275865
15W,32,6.654767,0.665477,99.34,6.346327044025157,7.247890909090909,48.23302524141818,4.823302524141818,159,96,77.38181818181818
15W,256,6.707321,0.670732,99.34,6.4189808917197455,7.3598103448275864,49.36461048187932,4.936461048187931,157,99,79.13793103448276
15W,1024,9.935931,0.993593,99.34,7.316736559139785,8.800460674157302,87.44077002664044,8.744077002664044,186,99,88.5505617977528
7W,1,52.447672,5.244767,99.34,5.6461795302013424,5.734946004319654,300.7845669722678,30.07845669722678,596,99,44.019438444924404
7W,32,13.734433,1.373443,99.34,5.65601976284585,5.99255462184874,82.30433995262185,8.230433995262183,253,99,87.46218487394958
7W,256,14.031864,1.403186,99.34,5.771176470588236,6.219495867768595,87.2711201650909,8.727112016509091,255,99,90.76859504132231
7W,1024,24.187373,2.418737,99.34,6.213557471264368,6.706032110091743,162.20129999676607,16.220129999676605,348,99,93.60091743119266
