epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.952842116355896,0.0010000000474974513,0.1408834159374237,0.9732000231742859,0.07568628340959549
1,0.9765263199806213,0.0010000000474974513,0.06671429425477982,0.9775999784469604,0.07010120153427124
2,0.9816842079162598,0.0010000000474974513,0.054797861725091934,0.9692000150680542,0.09111279249191284
3,0.982989490032196,0.0010000000474974513,0.05063885822892189,0.9824000000953674,0.051081202924251556
4,0.9855157732963562,0.0010000000474974513,0.04254816472530365,0.9864000082015991,0.04588274657726288
5,0.9858736991882324,0.0010000000474974513,0.04160453751683235,0.9843999743461609,0.05187927186489105
6,0.9866737127304077,0.0010000000474974513,0.039551861584186554,0.9747999906539917,0.0806155800819397
7,0.9880841970443726,0.0010000000474974513,0.03540997579693794,0.984000027179718,0.04617468640208244
8,0.9884210228919983,0.0010000000474974513,0.03389457240700722,0.9836000204086304,0.04883633553981781
9,0.9894315600395203,0.0010000000474974513,0.03381047397851944,0.9851999878883362,0.042616792023181915
10,0.9901263117790222,0.0010000000474974513,0.02929408848285675,0.9836000204086304,0.044580064713954926
11,0.9931157827377319,0.0005000000237487257,0.021568525582551956,0.9927999973297119,0.021581273525953293
12,0.9937263131141663,0.0005000000237487257,0.01877712458372116,0.991599977016449,0.02384454756975174
13,0.9942947626113892,0.0005000000237487257,0.01805233769118786,0.9932000041007996,0.02391895093023777
14,0.9944210648536682,0.0005000000237487257,0.018426720052957535,0.9872000217437744,0.03554712235927582
15,0.9936842322349548,0.0005000000237487257,0.019865676760673523,0.9904000163078308,0.032377228140830994
16,0.9941895008087158,0.0005000000237487257,0.016919318586587906,0.991599977016449,0.02146393433213234
17,0.9944631457328796,0.0005000000237487257,0.016870437189936638,0.9896000027656555,0.037552207708358765
18,0.9947999715805054,0.0005000000237487257,0.016028588637709618,0.991599977016449,0.026262063533067703
19,0.9953052401542664,0.0005000000237487257,0.014600841328501701,0.9900000095367432,0.030234890058636665
20,0.9961262941360474,0.0002500000118743628,0.01185330469161272,0.991599977016449,0.02264329604804516
21,0.996399998664856,0.0002500000118743628,0.010591667145490646,0.9911999702453613,0.02925535850226879
22,0.9961262941360474,0.0002500000118743628,0.011870373040437698,0.9919999837875366,0.026940545067191124
23,0.996021032333374,0.0002500000118743628,0.011585765518248081,0.9923999905586243,0.0334833599627018
24,0.9968842267990112,0.0002500000118743628,0.009366035461425781,0.9936000108718872,0.024247970432043076
25,0.9968842267990112,0.0002500000118743628,0.009363178163766861,0.9936000108718872,0.0265951044857502
26,0.996526300907135,0.0002500000118743628,0.010180789045989513,0.9887999892234802,0.032641634345054626
27,0.9971368312835693,0.0002500000118743628,0.008578225038945675,0.9919999837875366,0.027618497610092163
28,0.997031569480896,0.0002500000118743628,0.00883612409234047,0.991599977016449,0.030403146520256996
29,0.997221052646637,0.0002500000118743628,0.00795589666813612,0.9927999973297119,0.02901518903672695
30,0.997221052646637,0.0002500000118743628,0.008580242283642292,0.9923999905586243,0.02239486388862133
31,0.9980000257492065,0.0001250000059371814,0.006019612308591604,0.9932000041007996,0.02589949406683445
32,0.9980210661888123,0.0001250000059371814,0.005512012168765068,0.995199978351593,0.021147899329662323
33,0.9983999729156494,0.0001250000059371814,0.004600188694894314,0.9919999837875366,0.02712221071124077
34,0.9984210729598999,0.0001250000059371814,0.004566853865981102,0.9932000041007996,0.023639194667339325
35,0.9982105493545532,0.0001250000059371814,0.0052008372731506824,0.9911999702453613,0.03128402307629585
36,0.9981052875518799,0.0001250000059371814,0.005458282306790352,0.9923999905586243,0.026544613763689995
37,0.998673677444458,0.0001250000059371814,0.00423142546787858,0.9940000176429749,0.024871699512004852
38,0.9984421133995056,0.0001250000059371814,0.004444458521902561,0.9947999715805054,0.019484248012304306
39,0.9989052414894104,6.25000029685907e-05,0.003036276437342167,0.9944000244140625,0.023667460307478905
40,0.998989462852478,6.25000029685907e-05,0.003013978246599436,0.9944000244140625,0.02204820327460766
41,0.9990526437759399,6.25000029685907e-05,0.0028472549747675657,0.9940000176429749,0.02179122343659401
42,0.9989052414894104,6.25000029685907e-05,0.002958070021122694,0.9927999973297119,0.025727881118655205
43,0.99936842918396,6.25000029685907e-05,0.0024131168611347675,0.9947999715805054,0.024702396243810654
44,0.9989473819732666,6.25000029685907e-05,0.0029053431935608387,0.995199978351593,0.022793013602495193
45,0.999178946018219,3.125000148429535e-05,0.002193750347942114,0.9947999715805054,0.0245010107755661
46,0.9993894696235657,3.125000148429535e-05,0.001812577247619629,0.9944000244140625,0.024112334474921227
47,0.9994526505470276,3.125000148429535e-05,0.0017759206239134073,0.9944000244140625,0.022905174642801285
48,0.9993894696235657,3.125000148429535e-05,0.0017798480112105608,0.9940000176429749,0.023155899718403816
49,0.9994105100631714,3.125000148429535e-05,0.0016472474671900272,0.9947999715805054,0.023403214290738106
