classe_real,qtd_amostras,acertos_qonnx,acertos_brevitas,acuracia_qonnx,acuracia_brevitas
0,223,219,219,0.9820627802690582,0.9820627802690582
1,1163,1102,1092,0.9475494411006019,0.938950988822012
2,925,860,817,0.9297297297297298,0.8832432432432432
3,773,620,642,0.8020698576972833,0.8305304010349288
4,116,80,80,0.6896551724137931,0.6896551724137931
5,1800,1789,1789,0.9938888888888889,0.9938888888888889
total,5000,4670,4639,0.934,0.9278
